calendar_year,date,event_id,event_name,sg_categories,tour,traditional_stats
2026,2026-02-08,3,WM Phoenix Open,yes,pga,yes
2026,2026-02-01,4,Farmers Insurance Open,yes,pga,yes
2026,2026-01-25,2,The American Express,yes,pga,yes
2026,2026-01-18,6,Sony Open in Hawaii,yes,pga,yes
2025,2025-12-14,88,PGA TOUR Q-School presented by Korn Ferry,no,pga,basic
2025,2025-12-07,478,Hero World Challenge,yes,pga,yes
2025,2025-11-23,493,The RSM Classic,yes,pga,yes
2025,2025-11-16,528,Butterfield Bermuda Championship,no,pga,basic
2025,2025-11-09,457,World Wide Technology Championship,no,pga,basic
2025,2025-10-26,554,Bank of Utah Championship,yes,pga,yes
2025,2025-10-12,527,Baycurrent Classic,no,pga,basic
2025,2025-10-05,54,Sanderson Farms Championship,yes,pga,yes
2025,2025-09-14,464,Procore Championship,yes,pga,yes
2025,2025-08-24,60,TOUR Championship,yes,pga,yes
2025,2025-08-17,28,BMW Championship,yes,pga,yes
2025,2025-08-10,27,FedEx St. Jude Championship,yes,pga,yes
2025,2025-08-03,13,Wyndham Championship,yes,pga,yes
2025,2025-07-27,525,3M Open,yes,pga,yes
2025,2025-07-20,472,Barracuda Championship,no,pga,no
2025,2025-07-20,100,The Open Championship,yes,pga,yes
2025,2025-07-13,541,Genesis Scottish Open,yes,pga,yes
2025,2025-07-13,518,ISCO Championship,yes,pga,yes
2025,2025-07-06,30,John Deere Classic,yes,pga,yes
2025,2025-06-29,524,Rocket Classic,yes,pga,yes
2025,2025-06-22,34,Travelers Championship,yes,pga,yes
2025,2025-06-15,26,U.S. Open,yes,pga,yes
2025,2025-06-08,32,RBC Canadian Open,yes,pga,yes
2025,2025-06-01,23,the Memorial Tournament presented by Workday,yes,pga,yes
2025,2025-05-25,21,Charles Schwab Challenge,yes,pga,yes
2025,2025-05-18,33,PGA Championship,yes,pga,yes
2025,2025-05-11,553,ONEflight Myrtle Beach Classic,yes,pga,yes
2025,2025-05-11,480,Truist Championship,yes,pga,yes
2025,2025-05-04,19,THE CJ CUP Byron Nelson,yes,pga,yes
2025,2025-04-27,18,Zurich Classic of New Orleans,yes,pga,basic
2025,2025-04-20,522,Corales Puntacana Championship,no,pga,basic
2025,2025-04-20,12,RBC Heritage,yes,pga,yes
2025,2025-04-13,14,Masters Tournament,yes,pga,yes
