player_idx,win,top_5,top_10,top_20,make_cut,expected_finish,median_finish,player_id,player_name,dg_id,actual_finish,actual_made_cut,rounds_played,actual_win,actual_top5,actual_top10,actual_top20,actual_cut,event_id,year,event_name
26,0.15864,0.4101,0.56054,0.7123,0.86972,24.34752,8.0,11676,"Finau, Tony",11676,12.0,True,4,0,0,0,1,1,525,2024,3M Open
40,0.03752,0.15114,0.25474,0.40754,0.6961,49.00094,29.0,13872,"Bradley, Keegan",13872,46.0,True,4,0,0,0,0,1,525,2024,3M Open
91,0.03246,0.12688,0.21302,0.34466,0.64332,62.6835,38.0,19483,"Burns, Sam",19483,12.0,True,4,0,0,0,1,1,525,2024,3M Open
104,0.02804,0.12156,0.2179,0.36534,0.6754,43.27454,33.0,21554,"Poston, J.T.",21554,,False,2,0,0,0,0,0,525,2024,3M Open
73,0.02336,0.1047,0.19008,0.32842,0.64544,63.61356,38.0,17536,"Spaun, J.J.",17536,9.0,True,4,0,0,1,1,1,525,2024,3M Open
58,0.02276,0.10396,0.18832,0.3173,0.63612,65.55246,39.0,15575,"Hoge, Tom",15575,,False,2,0,0,0,0,0,525,2024,3M Open
118,0.02258,0.09002,0.1571,0.2692,0.57396,50.6265,51.0,23504,"Hoey, Rico",23504,67.0,True,4,0,0,0,0,1,525,2024,3M Open
154,0.02254,0.1136,0.20948,0.36366,0.68264,58.67954,33.0,32330,"Clanton, Luke",32330,,False,2,0,0,0,0,0,525,2024,3M Open
87,0.02016,0.09948,0.18004,0.3171,0.6416,64.77776,39.0,18634,"McNealy, Maverick",18634,3.0,True,4,0,1,1,1,1,525,2024,3M Open
76,0.01608,0.0841,0.16616,0.30646,0.64514,64.35636,39.0,17606,"Berger, Daniel",17606,,False,2,0,0,0,0,0,525,2024,3M Open
2,0.01514,0.08642,0.16834,0.3087,0.64742,55.14348,38.0,6169,"Kuchar, Matt",6169,3.0,True,4,0,1,1,1,1,525,2024,3M Open
79,0.0151,0.07902,0.15202,0.27484,0.60558,69.57952,45.0,17780,"Pendrith, Taylor",17780,5.0,True,4,0,1,1,1,1,525,2024,3M Open
114,0.01504,0.0682,0.12698,0.22902,0.55238,52.80654,55.0,23014,"Theegala, Sahith",23014,6.0,True,4,0,0,1,1,1,525,2024,3M Open
