seq_decay,time_half_life,mse,rmse
0.98,60,7.857836225885578,2.8031832308797755
0.97,60,7.863862839112952,2.804257983694252
0.99,60,7.8654761067866446,2.8045456150304715
0.98,80,7.8669705548631415,2.8048120355672927
0.96,60,7.871961181629135,2.805701548923038
0.99,80,7.8724240268280425,2.805784030681628
0.98,100,7.872704499977705,2.8058340114799565
0.97,80,7.87285737002778,2.805861252811297
0.98,120,7.876399479899182,2.8064923801605417
0.99,100,7.8769678572261705,2.8065936394900795
0.97,100,7.878384699304742,2.8068460412542655
0.95,60,7.879782165315056,2.80709496905877
0.98,150,7.8798548156221555,2.807107909507961
0.96,80,7.879965878517926,2.8071276918797134
0.99,120,7.879974788383944,2.8071292788868742
0.97,120,7.881913645307379,2.8074746027893784
0.98,180,7.881976680506974,2.8074858290839106
0.99,150,7.8828457807691885,2.8076406074797373
0.98,240,7.884388813497211,2.8079153857438817
0.99,180,7.884638619754301,2.8079598679030835
0.96,100,7.884869683423017,2.8080010120053407
0.97,150,7.885202764399267,2.8080603206482704
0.95,80,7.886572389797216,2.808304183986702
0.99,240,7.886705941398527,2.808327961866015
0.94,60,7.886888729783941,2.8083605056658842
0.97,180,7.8872245506633325,2.8084202945184917
0.96,120,7.888008222378775,2.8085598128540497
0.97,240,7.8895346250079585,2.808831540873884
0.95,100,7.890774236141073,2.8090521953393948
0.96,150,7.89095181380722,2.80908380327238
0.94,80,7.892466827525371,2.809353453648254
0.96,180,7.892778005340961,2.8094088355632687
0.93,60,7.893287303688186,2.8094994756518794
0.95,120,7.893491414981725,2.8095358006228937
0.96,240,7.894891252486192,2.8097849121393956
0.94,100,7.89599450485811,2.8099812285597405
0.95,150,7.896071414726793,2.809994913647851
0.95,180,7.897694806096936,2.8102837589996024
0.93,80,7.8977314629463855,2.8102902809045163
0.94,120,7.8983147221422145,2.81039405104377
0.95,240,7.899605108829093,2.8106236156463735
0.94,150,7.9005561163122,2.8107927914224127
0.93,100,7.900642106343366,2.8108080877824735
0.94,180,7.901991878178937,2.811048181404747
0.93,120,7.902602883398745,2.811156858554632
0.94,240,7.903714799875129,2.81135462008533
0.93,150,7.904539558482589,2.8115012997476256
0.93,180,7.905806990108512,2.8117266919294472
0.93,240,7.907361831892974,2.812003170676195
