sg_ott,sg_app,sg_arg,sg_putt,mse,rmse
1.1,1.0,1.0,0.8,7.846635764989331,2.8011847074031606
1.0,1.0,0.9,0.8,7.846988712703836,2.801247706416524
1.1,1.0,0.9,0.8,7.847047546719083,2.801258207791471
1.0,1.0,1.0,0.8,7.84706112995386,2.8012606322785927
1.2,1.0,1.0,0.8,7.8473593386648615,2.801313859364006
1.0,1.0,0.8,0.8,7.847787843945992,2.801390341231652
1.2,1.0,0.9,0.8,7.848224244525717,2.801468230147491
0.9,1.0,0.9,0.8,7.848288971340021,2.801479782425713
1.1,1.0,0.8,0.8,7.8483023491192165,2.8014821700519916
0.9,1.0,0.8,0.8,7.848603749114982,2.801535962488253
0.9,1.0,1.0,0.8,7.848869274100793,2.801583351267778
1.3,1.0,1.0,0.8,7.849025351484278,2.801611206339002
1.0,1.0,1.0,0.7,7.8494760783465445,2.8016916458358767
1.0,1.0,0.7,0.8,7.849531900067994,2.8017016079639876
1.0,1.0,0.9,0.7,7.849555982944319,2.8017059058624123
1.1,1.0,1.0,0.7,7.849688821389507,2.8017296124696807
0.9,1.0,0.7,0.8,7.849897744900317,2.8017668969599017
1.2,1.0,0.8,0.8,7.849900034023443,2.801767305474072
0.9,1.0,0.9,0.7,7.85013742162698,2.8018096690580143
1.1,1.0,0.9,0.7,7.850274089659483,2.801834058194647
1.3,1.0,0.9,0.8,7.85030799589475,2.801840108909634
1.1,1.0,0.7,0.8,7.850463621075211,2.8018678807315687
1.0,1.0,0.8,0.7,7.850540248607189,2.8018815550638805
0.9,1.0,1.0,0.7,7.850593978907351,2.8018911433007796
0.9,1.0,0.8,0.7,7.850613064459464,2.801894549132687
1.2,1.0,1.0,0.7,7.850992303578171,2.8019622237957047
1.4,1.0,1.0,0.8,7.851454344107584,2.8020446720399703
1.1,1.0,0.8,0.7,7.8517309729737725,2.8020940335709246
1.2,1.0,0.9,0.7,7.852045417415483,2.8021501418402766
0.9,1.0,0.7,0.7,7.852108959851133,2.8021614799741883
1.3,1.0,0.8,0.8,7.8523670044467515,2.8022075234441064
1.2,1.0,0.7,0.8,7.852441170193049,2.802220756862858
1.0,1.0,0.7,0.7,7.852505037245699,2.802232152632201
1.4,1.0,0.9,0.8,7.85311737519237,2.802341409463231
1.3,1.0,1.0,0.7,7.853177741371131,2.802352180110689
1.2,1.0,0.8,0.7,7.853934024461499,2.8024871140580645
1.0,1.0,1.0,0.6,7.854027088942799,2.8025037179177477
1.1,1.0,0.7,0.7,7.854124810469725,2.8025211525463507
0.9,1.0,0.9,0.6,7.854300006690418,2.802552409267384
1.0,1.0,0.9,0.6,7.854327286956658,2.802557276302602
0.9,1.0,1.0,0.6,7.854554690286091,2.8025978466926165
1.3,1.0,0.9,0.7,7.854657900052449,2.8026162598637097
1.1,1.0,1.0,0.6,7.854771355280128,2.802636500739996
0.9,1.0,0.8,0.6,7.855010279366666,2.802679125295414
1.3,1.0,0.7,0.8,7.855248827026473,2.8027216820488032
1.4,1.0,0.8,0.8,7.855520904702197,2.8027702197472766
1.0,1.0,0.8,0.6,7.855560094095523,2.802777210927676
1.1,1.0,0.9,0.6,7.8555886249689815,2.8027823006735613
1.4,1.0,1.0,0.7,7.856066107102453,2.802867479404343
