seq_decay,time_half_life,mse,rmse
0.98,40,7.835089023151261,2.7991229024734268
0.985,40,7.836070597474287,2.7992982330352527
0.975,40,7.837684764962152,2.799586534644384
0.98,50,7.841207112926868,2.8002155475832335
0.985,50,7.841572283588195,2.8002807508512775
0.97,40,7.841990110269948,2.8003553542845143
0.975,50,7.84398432357245,2.8007113959800374
0.99,40,7.844584469946137,2.8008185357045425
0.985,60,7.846554673112727,2.801170232797844
0.98,60,7.846635764989331,2.8011847074031606
0.965,40,7.847063723542976,2.8012610952110437
0.97,50,7.848136744414969,2.801452613273151
0.99,50,7.849009579788809,2.8016083915830934
0.975,60,7.849480144970169,2.8016923715801076
0.985,70,7.850717741051331,2.801913228679884
0.98,70,7.851104516153509,2.8019822476513854
0.96,40,7.852417312488613,2.8022164999315478
0.965,50,7.8528278139740735,2.802289744829052
0.99,60,7.853068759154442,2.8023327352679663
0.97,60,7.853440773648768,2.8023991103425594
0.975,70,7.853953605391012,2.8024906075473317
0.985,80,7.854090072581262,2.802514954925533
0.98,80,7.854685156361679,2.802621122514008
0.99,70,7.856501065301785,2.8029450699758254
0.985,90,7.856800505257522,2.802998484704821
0.975,80,7.857511546461338,2.803125317651949
0.98,90,7.857539797026032,2.803130356766526
0.96,50,7.85765223352497,2.8031504122192534
0.97,70,7.857730258197065,2.8031643295028323
0.965,60,7.857778644490653,2.8031729601454587
0.99,80,7.859310804577395,2.803446237147664
0.975,90,7.860334246616541,2.8036287640514286
0.97,80,7.861129630514149,2.8037706094675703
0.99,90,7.861589972342663,2.8038527016130255
0.965,70,7.861775154070656,2.8038857241461637
0.96,60,7.862156567668351,2.8039537385036066
0.97,90,7.863821670517608,2.8042506433123284
0.965,80,7.864942036525392,2.8044503983000646
0.96,70,7.86580235561878,2.8046037787214755
0.965,90,7.867452208914696,2.8048978963439466
0.96,80,7.8687004646074,2.805120401089301
0.995,40,7.87085130902103,2.8055037531646665
0.96,90,7.8710052620742745,2.8055311907149196
0.995,50,7.873606235376976,2.8059946962489035
0.995,60,7.8761073963063835,2.8064403425525337
0.995,70,7.878211235485963,2.806815140953526
0.995,80,7.879932823040629,2.8071218040976826
0.995,90,7.881334675889349,2.8073714887576506
